"id","portfolio_name","project_name","site_name","owner_organization","service_organization","data_source","date","deficiencies","description","symbol_code","lat","lon"
2903,"North River Midstream Inspection","North River 2024 Annual Pipeline Inspection","","ProDelta","North River Midstream Integrity","G:\NorthRiver\Annual_Pipeline_Inspections\2024\NRM-2024.kmz","2024-09-25","Erosion 19","","erosion",58.6829780692755,-122.232423192046
2904,"North River Midstream Inspection","North River 2024 Annual Pipeline Inspection","","ProDelta","North River Midstream Integrity","G:\NorthRiver\Annual_Pipeline_Inspections\2024\NRM-2024.kmz","2024-09-25","Erosion 20","","erosion",58.7114952230219,-121.778945430511
2905,"North River Midstream Inspection","North River 2024 Annual Pipeline Inspection","","ProDelta","North River Midstream Integrity","G:\NorthRiver\Annual_Pipeline_Inspections\2024\NRM-2024.kmz","2024-09-25","Erosion 21","","erosion",58.7234169423677,-121.615160395851
2906,"North River Midstream Inspection","North River 2024 Annual Pipeline Inspection","","ProDelta","North River Midstream Integrity","G:\NorthRiver\Annual_Pipeline_Inspections\2024\NRM-2024.kmz","2024-09-25","Erosion 22","","erosion",58.9192266865239,-121.462697982788
2907,"North River Midstream Inspection","North River 2024 Annual Pipeline Inspection","","ProDelta","North River Midstream Integrity","G:\NorthRiver\Annual_Pipeline_Inspections\2024\NRM-2024.kmz","2024-09-25","Erosion 23","","erosion",58.4591837938554,-122.268905639648
2908,"North River Midstream Inspection","North River 2024 Annual Pipeline Inspection","","ProDelta","North River Midstream Integrity","G:\NorthRiver\Annual_Pipeline_Inspections\2024\NRM-2024.kmz","2024-09-25","Exposure 1","","exposure",58.6708509947651,-122.513632914337
2909,"North River Midstream Inspection","North River 2024 Annual Pipeline Inspection","","ProDelta","North River Midstream Integrity","G:\NorthRiver\Annual_Pipeline_Inspections\2024\NRM-2024.kmz","2024-09-25","Exposure 2","","exposure",58.6721285412415,-122.413514865107
2910,"North River Midstream Inspection","North River 2024 Annual Pipeline Inspection","","ProDelta","North River Midstream Integrity","G:\NorthRiver\Annual_Pipeline_Inspections\2024\NRM-2024.kmz","2024-09-25","Exposure 3","","exposure",58.6850594105247,-122.168120989614
2911,"North River Midstream Inspection","North River 2024 Annual Pipeline Inspection","","ProDelta","North River Midstream Integrity","G:\NorthRiver\Annual_Pipeline_Inspections\2024\NRM-2024.kmz","2024-09-25","Exposure 4","","exposure",58.8849139110121,-121.621999740601
2912,"North River Midstream Inspection","North River 2024 Annual Pipeline Inspection","","ProDelta","North River Midstream Integrity","G:\NorthRiver\Annual_Pipeline_Inspections\2024\NRM-2024.kmz","2024-09-25","Exposure 5","","exposure",58.7983603340735,-122.024459838867
2913,"North River Midstream Inspection","North River 2024 Annual Pipeline Inspection","","ProDelta","North River Midstream Integrity","G:\NorthRiver\Annual_Pipeline_Inspections\2024\NRM-2024.kmz","2024-09-25","Exposure 6","","exposure",58.7120806654248,-122.422285079956
2914,"North River Midstream Inspection","North River 2024 Annual Pipeline Inspection","","ProDelta","North River Midstream Integrity","G:\NorthRiver\Annual_Pipeline_Inspections\2024\NRM-2024.kmz","2024-09-25","Exposure 7","","exposure",58.6975015177353,-122.510004043579
2915,"North River Midstream Inspection","North River 2024 Annual Pipeline Inspection","","ProDelta","North River Midstream Integrity","G:\NorthRiver\Annual_Pipeline_Inspections\2024\NRM-2024.kmz","2024-09-25","Exposure 8","","exposure",58.6913470186228,-122.547082901001
2916,"North River Midstream Inspection","North River 2024 Annual Pipeline Inspection","","ProDelta","North River Midstream Integrity","G:\NorthRiver\Annual_Pipeline_Inspections\2024\NRM-2024.kmz","2024-09-25","Exposure 9","","exposure",58.6848345534609,-122.587251663208
2917,"North River Midstream Inspection","North River 2024 Annual Pipeline Inspection","","ProDelta","North River Midstream Integrity","G:\NorthRiver\Annual_Pipeline_Inspections\2024\NRM-2024.kmz","2024-09-25","Exposure 10","","exposure",58.6630260646102,-122.65774903795
2918,"North River Midstream Inspection","North River 2024 Annual Pipeline Inspection","","ProDelta","North River Midstream Integrity","G:\NorthRiver\Annual_Pipeline_Inspections\2024\NRM-2024.kmz","2024-09-25","Exposure 11","","exposure",58.7177083367397,-122.564628025997
2919,"North River Midstream Inspection","North River 2024 Annual Pipeline Inspection","","ProDelta","North River Midstream Integrity","G:\NorthRiver\Annual_Pipeline_Inspections\2024\NRM-2024.kmz","2024-09-25","Exposure 12","Could faintly see pipe below water surface","exposure",58.9480032143149,-121.490399726387
2920,"North River Midstream Inspection","North River 2024 Annual Pipeline Inspection","","ProDelta","North River Midstream Integrity","G:\NorthRiver\Annual_Pipeline_Inspections\2024\NRM-2024.kmz","2024-09-25","Exposure 13","Hole still present but was not able to verify exposure","exposure",59.5280318260814,-121.867765870258
2921,"North River Midstream Inspection","North River 2024 Annual Pipeline Inspection","","ProDelta","North River Midstream Integrity","G:\NorthRiver\Annual_Pipeline_Inspections\2024\NRM-2024.kmz","2024-09-25","Forest Fire Burn Area 1","","forest_fire",57.4394779303581,-120.670205147555
2922,"North River Midstream Inspection","North River 2024 Annual Pipeline Inspection","","ProDelta","North River Midstream Integrity","G:\NorthRiver\Annual_Pipeline_Inspections\2024\NRM-2024.kmz","2024-09-25","Forest Fire Burn Area 2","","forest_fire",57.4420881488568,-120.602017523574
2923,"North River Midstream Inspection","North River 2024 Annual Pipeline Inspection","","ProDelta","North River Midstream Integrity","G:\NorthRiver\Annual_Pipeline_Inspections\2024\NRM-2024.kmz","2024-09-25","Forest Fire Burn Area 3","","forest_fire",57.2702729494562,-120.979642868042
2924,"North River Midstream Inspection","North River 2024 Annual Pipeline Inspection","","ProDelta","North River Midstream Integrity","G:\NorthRiver\Annual_Pipeline_Inspections\2024\NRM-2024.kmz","2024-09-25","Forest Fire Burn Area 4","","forest_fire",57.2752845283888,-120.983247756958
2925,"North River Midstream Inspection","North River 2024 Annual Pipeline Inspection","","ProDelta","North River Midstream Integrity","G:\NorthRiver\Annual_Pipeline_Inspections\2024\NRM-2024.kmz","2024-09-25","Forest Fire Burn Area 5","","forest_fire",57.3849196545579,-121.229159426507
2926,"North River Midstream Inspection","North River 2024 Annual Pipeline Inspection","","ProDelta","North River Midstream Integrity","G:\NorthRiver\Annual_Pipeline_Inspections\2024\NRM-2024.kmz","2024-09-25","Forest Fire Burn Area 6","","forest_fire",57.3693483438188,-121.213581793206
2927,"North River Midstream Inspection","North River 2024 Annual Pipeline Inspection","","ProDelta","North River Midstream Integrity","G:\NorthRiver\Annual_Pipeline_Inspections\2024\NRM-2024.kmz","2024-09-25","Forest Fire Burn Area 7","","forest_fire",57.3312471688858,-121.342878341675
2928,"North River Midstream Inspection","North River 2024 Annual Pipeline Inspection","","ProDelta","North River Midstream Integrity","G:\NorthRiver\Annual_Pipeline_Inspections\2024\NRM-2024.kmz","2024-09-25","Forest Fire Burn Area 8","","forest_fire",57.3205379278217,-121.356483455844
2929,"North River Midstream Inspection","North River 2024 Annual Pipeline Inspection","","ProDelta","North River Midstream Integrity","G:\NorthRiver\Annual_Pipeline_Inspections\2024\NRM-2024.kmz","2024-09-25","Forest Fire Burn Area 9","","forest_fire",57.3035441403052,-121.406001875946
2930,"North River Midstream Inspection","North River 2024 Annual Pipeline Inspection","","ProDelta","North River Midstream Integrity","G:\NorthRiver\Annual_Pipeline_Inspections\2024\NRM-2024.kmz","2024-09-25","Forest Fire Burn Area 10","","forest_fire",57.3941875146605,-121.200157141713
2931,"North River Midstream Inspection","North River 2024 Annual Pipeline Inspection","","ProDelta","North River Midstream Integrity","G:\NorthRiver\Annual_Pipeline_Inspections\2024\NRM-2024.kmz","2024-09-25","Forest Fire Burn Area 11","","forest_fire",57.3990149246702,-121.212278430081
2932,"North River Midstream Inspection","North River 2024 Annual Pipeline Inspection","","ProDelta","North River Midstream Integrity","G:\NorthRiver\Annual_Pipeline_Inspections\2024\NRM-2024.kmz","2024-09-25","Forest Fire Burn Area 12","","forest_fire",57.4523655217698,-121.262076085856
2933,"North River Midstream Inspection","North River 2024 Annual Pipeline Inspection","","ProDelta","North River Midstream Integrity","G:\NorthRiver\Annual_Pipeline_Inspections\2024\NRM-2024.kmz","2024-09-25","Forest Fire Burn Area 13","","forest_fire",57.4542035813177,-121.254640066104
2934,"North River Midstream Inspection","North River 2024 Annual Pipeline Inspection","","ProDelta","North River Midstream Integrity","G:\NorthRiver\Annual_Pipeline_Inspections\2024\NRM-2024.kmz","2024-09-25","Forest Fire Burn Area 14","","forest_fire",57.490929677834,-121.296658733561
2935,"North River Midstream Inspection","North River 2024 Annual Pipeline Inspection","","ProDelta","North River Midstream Integrity","G:\NorthRiver\Annual_Pipeline_Inspections\2024\NRM-2024.kmz","2024-09-25","Forest Fire Burn Area 15","","forest_fire",57.4906517109642,-121.288073046644
2936,"North River Midstream Inspection","North River 2024 Annual Pipeline Inspection","","ProDelta","North River Midstream Integrity","G:\NorthRiver\Annual_Pipeline_Inspections\2024\NRM-2024.kmz","2024-09-25","Forest Fire Burn Area 16","","forest_fire",57.1382420092098,-121.5944480896
2937,"North River Midstream Inspection","North River 2024 Annual Pipeline Inspection","","ProDelta","North River Midstream Integrity","G:\NorthRiver\Annual_Pipeline_Inspections\2024\NRM-2024.kmz","2024-09-25","Forest Fire Burn Area 17","","forest_fire",57.1429455759178,-121.602087020874
2938,"North River Midstream Inspection","North River 2024 Annual Pipeline Inspection","","ProDelta","North River Midstream Integrity","G:\NorthRiver\Annual_Pipeline_Inspections\2024\NRM-2024.kmz","2024-09-25","Forest Fire Burn Area 18","","forest_fire",57.2004930493023,-121.811292023789
2939,"North River Midstream Inspection","North River 2024 Annual Pipeline Inspection","","ProDelta","North River Midstream Integrity","G:\NorthRiver\Annual_Pipeline_Inspections\2024\NRM-2024.kmz","2024-09-25","Forest Fire Burn Area 21","","forest_fire",57.2266329542395,-121.826273714776
2940,"North River Midstream Inspection","North River 2024 Annual Pipeline Inspection","","ProDelta","North River Midstream Integrity","G:\NorthRiver\Annual_Pipeline_Inspections\2024\NRM-2024.kmz","2024-09-25","Forest Fire Burn Area 22","","forest_fire",57.2371686486697,-121.849824565924
2941,"North River Midstream Inspection","North River 2024 Annual Pipeline Inspection","","ProDelta","North River Midstream Integrity","G:\NorthRiver\Annual_Pipeline_Inspections\2024\NRM-2024.kmz","2024-09-25","Forest Fire Burn Area 23","","forest_fire",57.4250658007716,-122.000385886567
2942,"North River Midstream Inspection","North River 2024 Annual Pipeline Inspection","","ProDelta","North River Midstream Integrity","G:\NorthRiver\Annual_Pipeline_Inspections\2024\NRM-2024.kmz","2024-09-25","Forest Fire Burn Area 24","Active burn in vicinity of pl","forest_fire",59.7300970862688,-124.033078865495
2943,"North River Midstream Inspection","North River 2024 Annual Pipeline Inspection","","ProDelta","North River Midstream Integrity","G:\NorthRiver\Annual_Pipeline_Inspections\2024\NRM-2024.kmz","2024-09-25","Forest Fire Burn Area 25","Smouldering fire","forest_fire",59.7484543833932,-123.946296830815
2944,"North River Midstream Inspection","North River 2024 Annual Pipeline Inspection","","ProDelta","North River Midstream Integrity","G:\NorthRiver\Annual_Pipeline_Inspections\2024\NRM-2024.kmz","2024-09-25","Forest Fire Burn Area 28","Roth boundary burn area","forest_fire",59.6318999067082,-123.125068440468
2945,"North River Midstream Inspection","North River 2024 Annual Pipeline Inspection","","ProDelta","North River Midstream Integrity","G:\NorthRiver\Annual_Pipeline_Inspections\2024\NRM-2024.kmz","2024-09-25","Forest Fire Burn Area 29","","forest_fire",59.3975309039922,-123.301263736843
2946,"North River Midstream Inspection","North River 2024 Annual Pipeline Inspection","","ProDelta","North River Midstream Integrity","G:\NorthRiver\Annual_Pipeline_Inspections\2024\NRM-2024.kmz","2024-09-25","Forest Fire Burn Area 31","","forest_fire",59.5345850665863,-123.173792606408
2947,"North River Midstream Inspection","North River 2024 Annual Pipeline Inspection","","ProDelta","North River Midstream Integrity","G:\NorthRiver\Annual_Pipeline_Inspections\2024\NRM-2024.kmz","2024-09-25","Forest Fire Burn Area 32","","forest_fire",59.4531882875199,-123.225884924404
2948,"North River Midstream Inspection","North River 2024 Annual Pipeline Inspection","","ProDelta","North River Midstream Integrity","G:\NorthRiver\Annual_Pipeline_Inspections\2024\NRM-2024.kmz","2024-09-25","Forest Fire Burn Area 33","","forest_fire",59.2808287768607,-123.280943476191
2949,"North River Midstream Inspection","North River 2024 Annual Pipeline Inspection","","ProDelta","North River Midstream Integrity","G:\NorthRiver\Annual_Pipeline_Inspections\2024\NRM-2024.kmz","2024-09-25","Forest Fire Burn Area 35","Burned down","forest_fire",58.6859351497072,-121.320630201227
2950,"North River Midstream Inspection","North River 2024 Annual Pipeline Inspection","","ProDelta","North River Midstream Integrity","G:\NorthRiver\Annual_Pipeline_Inspections\2024\NRM-2024.kmz","2024-09-25","Forest Fire Burn Area 36","","forest_fire",58.8794136073321,-121.666889190674
2951,"North River Midstream Inspection","North River 2024 Annual Pipeline Inspection","","ProDelta","North River Midstream Integrity","G:\NorthRiver\Annual_Pipeline_Inspections\2024\NRM-2024.kmz","2024-09-25","Forest Fire Burn Area 37","","forest_fire",58.8551841213154,-121.792974472046
2952,"North River Midstream Inspection","North River 2024 Annual Pipeline Inspection","","ProDelta","North River Midstream Integrity","G:\NorthRiver\Annual_Pipeline_Inspections\2024\NRM-2024.kmz","2024-09-25","Forest Fire Burn Area 38","","forest_fire",58.9366518184384,-121.381277679867
2953,"North River Midstream Inspection","North River 2024 Annual Pipeline Inspection","","ProDelta","North River Midstream Integrity","G:\NorthRiver\Annual_Pipeline_Inspections\2024\NRM-2024.kmz","2024-09-25","Forest Fire Burn Area 39","","forest_fire",58.9324801752538,-121.310539889891
2954,"North River Midstream Inspection","North River 2024 Annual Pipeline Inspection","","ProDelta","North River Midstream Integrity","G:\NorthRiver\Annual_Pipeline_Inspections\2024\NRM-2024.kmz","2024-09-25","Forest Fire Burn Area 40","","forest_fire",58.9398850580332,-121.236410659279
2955,"North River Midstream Inspection","North River 2024 Annual Pipeline Inspection","","ProDelta","North River Midstream Integrity","G:\NorthRiver\Annual_Pipeline_Inspections\2024\NRM-2024.kmz","2024-09-25","Forest Fire Burn Area 41","","forest_fire",58.9521015717441,-121.157640002916
2956,"North River Midstream Inspection","North River 2024 Annual Pipeline Inspection","","ProDelta","North River Midstream Integrity","G:\NorthRiver\Annual_Pipeline_Inspections\2024\NRM-2024.kmz","2024-09-25","Forest Fire Burn Area 42","","forest_fire",59.0133382296867,-121.523232223391
2957,"North River Midstream Inspection","North River 2024 Annual Pipeline Inspection","","ProDelta","North River Midstream Integrity","G:\NorthRiver\Annual_Pipeline_Inspections\2024\NRM-2024.kmz","2024-09-25","Forest Fire Burn Area 43","","forest_fire",59.220855866096,-121.621317838079
2958,"North River Midstream Inspection","North River 2024 Annual Pipeline Inspection","","ProDelta","North River Midstream Integrity","G:\NorthRiver\Annual_Pipeline_Inspections\2024\NRM-2024.kmz","2024-09-25","Forest Fire Burn Area 44","","forest_fire",59.3131937880702,-121.460164649486
2959,"North River Midstream Inspection","North River 2024 Annual Pipeline Inspection","","ProDelta","North River Midstream Integrity","G:\NorthRiver\Annual_Pipeline_Inspections\2024\NRM-2024.kmz","2024-09-25","Forest Fire Burn Area 45","","forest_fire",59.3619141922369,-121.271180255045
2960,"North River Midstream Inspection","North River 2024 Annual Pipeline Inspection","","ProDelta","North River Midstream Integrity","G:\NorthRiver\Annual_Pipeline_Inspections\2024\NRM-2024.kmz","2024-09-25","Forest Fire Burn Area 47","","forest_fire",59.3911888085967,-121.02933883667
2961,"North River Midstream Inspection","North River 2024 Annual Pipeline Inspection","","ProDelta","North River Midstream Integrity","G:\NorthRiver\Annual_Pipeline_Inspections\2024\NRM-2024.kmz","2024-09-25","Forest Fire Burn Area 48","","forest_fire",59.406131849387,-120.909261703491
2962,"North River Midstream Inspection","North River 2024 Annual Pipeline Inspection","","ProDelta","North River Midstream Integrity","G:\NorthRiver\Annual_Pipeline_Inspections\2024\NRM-2024.kmz","2024-09-25","Forest Fire Burn Area 49","","forest_fire",59.4397086900081,-120.811321075493
2963,"North River Midstream Inspection","North River 2024 Annual Pipeline Inspection","","ProDelta","North River Midstream Integrity","G:\NorthRiver\Annual_Pipeline_Inspections\2024\NRM-2024.kmz","2024-09-25","Forest Fire Burn Area 50","","forest_fire",59.4668556769078,-120.830693898438
2964,"North River Midstream Inspection","North River 2024 Annual Pipeline Inspection","","ProDelta","North River Midstream Integrity","G:\NorthRiver\Annual_Pipeline_Inspections\2024\NRM-2024.kmz","2024-09-25","Forest Fire Burn Area 51","","forest_fire",59.3080080421476,-120.420541763306
2965,"North River Midstream Inspection","North River 2024 Annual Pipeline Inspection","","ProDelta","North River Midstream Integrity","G:\NorthRiver\Annual_Pipeline_Inspections\2024\NRM-2024.kmz","2024-09-25","Forest Fire Burn Area 52","","forest_fire",59.9050371912225,-121.191301345825
2966,"North River Midstream Inspection","North River 2024 Annual Pipeline Inspection","","ProDelta","North River Midstream Integrity","G:\NorthRiver\Annual_Pipeline_Inspections\2024\NRM-2024.kmz","2024-09-25","Forest Fire Burn Area 53","","forest_fire",59.8809699622684,-121.274471282959
2967,"North River Midstream Inspection","North River 2024 Annual Pipeline Inspection","","ProDelta","North River Midstream Integrity","G:\NorthRiver\Annual_Pipeline_Inspections\2024\NRM-2024.kmz","2024-09-25","Forest Fire Burn Area 54","","forest_fire",59.830669638939,-121.447162628174
2968,"North River Midstream Inspection","North River 2024 Annual Pipeline Inspection","","ProDelta","North River Midstream Integrity","G:\NorthRiver\Annual_Pipeline_Inspections\2024\NRM-2024.kmz","2024-09-25","Forest Fire Burn Area 55","","forest_fire",59.7805400906386,-121.606719633445
2969,"North River Midstream Inspection","North River 2024 Annual Pipeline Inspection","","ProDelta","North River Midstream Integrity","G:\NorthRiver\Annual_Pipeline_Inspections\2024\NRM-2024.kmz","2024-09-25","Forest Fire Burn Area 56","","forest_fire",59.5846308031644,-121.869020462036
2970,"North River Midstream Inspection","North River 2024 Annual Pipeline Inspection","","ProDelta","North River Midstream Integrity","G:\NorthRiver\Annual_Pipeline_Inspections\2024\NRM-2024.kmz","2024-09-25","Forest Fire Burn Area 57","","forest_fire",59.6852226622096,-121.860946071221
2971,"North River Midstream Inspection","North River 2024 Annual Pipeline Inspection","","ProDelta","North River Midstream Integrity","G:\NorthRiver\Annual_Pipeline_Inspections\2024\NRM-2024.kmz","2024-09-25","Geohazrad 1","","geohaz",58.147337415504,-122.639951705933
2972,"North River Midstream Inspection","North River 2024 Annual Pipeline Inspection","","ProDelta","North River Midstream Integrity","G:\NorthRiver\Annual_Pipeline_Inspections\2024\NRM-2024.kmz","2024-09-25","Geohazrad 2","","geohaz",59.9476179617456,-124.203357696533
2973,"North River Midstream Inspection","North River 2024 Annual Pipeline Inspection","","ProDelta","North River Midstream Integrity","G:\NorthRiver\Annual_Pipeline_Inspections\2024\NRM-2024.kmz","2024-09-25","Geohazrad 3","","geohaz",58.6596653791097,-122.610082626343
2974,"North River Midstream Inspection","North River 2024 Annual Pipeline Inspection","","ProDelta","North River Midstream Integrity","G:\NorthRiver\Annual_Pipeline_Inspections\2024\NRM-2024.kmz","2024-09-25","Geohazrad 4","","geohaz",58.666004009933,-122.602872848511
2975,"North River Midstream Inspection","North River 2024 Annual Pipeline Inspection","","ProDelta","North River Midstream Integrity","G:\NorthRiver\Annual_Pipeline_Inspections\2024\NRM-2024.kmz","2024-09-25","Geohazrad 5","","geohaz",58.6774828405178,-122.628988173243
3070,"North River Midstream Inspection","North River 2024 Annual Pipeline Inspection","","ProDelta","North River Midstream Integrity","G:\NorthRiver\Annual_Pipeline_Inspections\2024\NRM-2024.kmz","2024-09-25","Over Growth 1","","over_growth",58.1525885454209,-122.629711100791
3071,"North River Midstream Inspection","North River 2024 Annual Pipeline Inspection","","ProDelta","North River Midstream Integrity","G:\NorthRiver\Annual_Pipeline_Inspections\2024\NRM-2024.kmz","2024-09-25","Sign Missing 1","","sign_missing",55.9561995217864,-119.652270174637
3072,"North River Midstream Inspection","North River 2024 Annual Pipeline Inspection","","ProDelta","North River Midstream Integrity","G:\NorthRiver\Annual_Pipeline_Inspections\2024\NRM-2024.kmz","2024-09-25","Sign Missing 2","","sign_missing",59.7721000144501,-121.64177005049
4269,"North River Midstream Inspection","North River 2024 Annual Pipeline Inspection","","ProDelta","North River Midstream Integrity","G:\NorthRiver\Annual_Pipeline_Inspections\2024\NRM-2024.kmz","2024-09-25","SurfaceDevelopment 1","New construction","other",56.3259438346152,-120.744740936544
4270,"North River Midstream Inspection","North River 2024 Annual Pipeline Inspection","","ProDelta","North River Midstream Integrity","G:\NorthRiver\Annual_Pipeline_Inspections\2024\NRM-2024.kmz","2024-09-25","SurfaceDevelopment 2","New lease site","other",55.7901900314219,-119.143341752275
4271,"North River Midstream Inspection","North River 2024 Annual Pipeline Inspection","","ProDelta","North River Midstream Integrity","G:\NorthRiver\Annual_Pipeline_Inspections\2024\NRM-2024.kmz","2024-09-25","SurfaceDevelopment 3","Pit being dug","other",55.8599966316127,-119.227881701047
4272,"North River Midstream Inspection","North River 2024 Annual Pipeline Inspection","","ProDelta","North River Midstream Integrity","G:\NorthRiver\Annual_Pipeline_Inspections\2024\NRM-2024.kmz","2024-09-25","SurfaceDevelopment 4","New borrow pit dug south of row","other",55.8739322634709,-119.525811092365
4273,"North River Midstream Inspection","North River 2024 Annual Pipeline Inspection","","ProDelta","North River Midstream Integrity","G:\NorthRiver\Annual_Pipeline_Inspections\2024\NRM-2024.kmz","2024-09-25","SurfaceDevelopment 5","Row construction","other",55.8651252774766,-119.57208016993
4274,"North River Midstream Inspection","North River 2024 Annual Pipeline Inspection","","ProDelta","North River Midstream Integrity","G:\NorthRiver\Annual_Pipeline_Inspections\2024\NRM-2024.kmz","2024-09-25","SurfaceDevelopment 6","New row construction","other",55.8655342219353,-119.585308443157
4275,"North River Midstream Inspection","North River 2024 Annual Pipeline Inspection","","ProDelta","North River Midstream Integrity","G:\NorthRiver\Annual_Pipeline_Inspections\2024\NRM-2024.kmz","2024-09-25","SurfaceDevelopment 7","New row construction","other",55.8691977279166,-119.718349801109
